,0,1
0,1,Asarums kyrkogård
1,2,Ringamåla kyrkogård
2,3,Bräkne-Hoby gamla kyrkogård
3,4,Bräkne-Hoby nya kyrkogård
4,5,Bräkne-Hoby södra kyrkogård
5,6,Bräkne-Hoby västra kyrkogård
6,7,Fridlevstads kyrkogård
7,8,Sillhövda kyrkogård
8,9,Tvings kyrkogård
9,10,Gammalstorps kyrkogård
10,11,Ysane kyrkogård
11,12,Jämjö kyrkogård
12,13,Avaskärs kyrkogård
13,14,Hoppsan! Sidan kunde inte hittas
14,15,Kristianopels kyrkogård
15,16,Ramdala kyrkogård
16,17,Sturkö kyrkogård
17,18,Tjurkö kyrkogård
18,19,Torhamns kyrkogård
19,20,Jämshögs kyrkogård
20,21,Hoppsan! Sidan kunde inte hittas
21,22,Hällaryds kyrkogård
22,23,Åryds kyrkogård
23,24,Boöns kyrkogård
24,25,Carl Gustafs kyrkogård Karlshamn
25,26,"Hvilans kyrkogård, Karlshamn"
26,27,Karlshamns kolerakyrkogård
27,28,Hoppsan! Sidan kunde inte hittas
28,29,Karlskrona griftegård
29,30,Karlskrona judiska begravningsplats
30,31,Karlskrona muslimska begravningsplats
31,32,Vämö kyrkogård
32,33,Aspö kyrkogård
33,34,Kyrkhults kyrkogård
34,35,Augerums kyrkogård
35,36,Flymens kyrkogård
36,37,Hoppsan! Sidan kunde inte hittas
37,38,Lösens kyrkogård
38,39,Elleholms kyrkogård
39,40,Mörrums kyrkogård
40,41,Hasslö kyrkogård
41,42,Nättraby kyrkogård
42,43,Rödeby askgravlund
43,44,Rödeby kyrkogård
44,45,Hoppsan! Sidan kunde inte hittas
45,46,Backaryds kyrkogård
46,47,Backaryds västra kyrkogård
47,48,Hoppsan! Sidan kunde inte hittas
48,49,Hoppsan! Sidan kunde inte hittas
49,50,Bredåkra kyrkogård
50,51,Hoppsan! Sidan kunde inte hittas
51,52,Edestads kyrkogård
52,53,Eringsboda kyrkogård
53,54,Förkärla kyrkogård
54,55,Hjortsberga kyrkogård
55,56,Göholms kyrkogård
56,57,Listerby kyrkogård
57,58,Hoppsan! Sidan kunde inte hittas
58,59,Saxemara kyrkogård
59,60,Öljehults kyrkogård
60,61,Sölvesborgs kapellkyrkogård
61,62,Sölvesborgs Slottskyrkogården
62,63,Sölvesborgs östra kyrkogård
63,64,Mjällby kyrkogård
64,65,Åls kyrkogård
65,66,Evertsbergs kyrkogård
66,67,Nornäs kyrkogård
67,68,Åsens kyrkogård
68,69,Älvdalens gamla kyrkogård
69,70,Älvdalens västra kyrkogård
70,71,Älvdalens östra kyrkogård
71,72,Ärnäs kyrkogård
72,73,Avesta kyrkogård
73,74,Bjursås kyrkogård
74,75,Sågmyra kyrkogård
75,76,By gamla kyrkogård
76,77,By nya kyrkogård
77,78,Horndals kyrkogård
78,79,Envikens kyrkogård
79,80,Aspeboda kyrkogård
80,81,Hästbergs nya kyrkogård
81,82,Falu skogskyrkogård
82,83,Hästbergs gamla kyrkogård
83,84,Kämparvets kyrkogård
84,85,Norslunds kyrkogård
85,86,Grycksbo kyrkogård
86,87,Hosjö kyrkogård
87,88,Stora Kopparbergs kyrkogård
88,89,Vika kyrkogård
89,90,Folkärna kyrkogård
90,91,Floda kyrkogård
91,92,Gagnefs kyrkogård
92,93,Mockfjärds kyrkogård
93,94,Grangärde kyrkogård
94,95,Grängesbergs kyrkogård
95,96,Säfsnäs kyrkogård
96,97,Grytnäs kyrkogård
97,98,Garpenbergs kyrkogård
98,99,Hedemora kyrkogård
99,100,Hoppsan! Sidan kunde inte hittas
100,101,Hoppsan! Sidan kunde inte hittas
101,102,Husby kyrkogård
102,103,Långshyttans kyrkogård
103,104,Stjärnsunds kyrkogård
104,105,Hoppsan! Sidan kunde inte hittas
105,106,Hoppsan! Sidan kunde inte hittas
106,107,Gördalens begravningsplats
107,108,Särna kyrkogård
108,109,Lima kyrkogård
109,110,Lima södra kyrkogård
110,111,Lötens kyrkogård
111,112,Rörbäcksnäs kyrkogård
112,113,Hoppsan! Sidan kunde inte hittas
113,114,Hoppsan! Sidan kunde inte hittas
114,115,Sörsjöns begravningsplats
115,116,Transtrands kyrkogård
116,117,Järna kyrkogård
117,118,Nås kyrkogård
118,119,Vansbro kyrkogård
119,120,Äppelbo kyrkogård
120,121,Djura kyrkogård
121,122,Leksands kyrkogård
122,123,Siljansnäs kyrkogård
