,wikidata,osmid,type
0,Q91411700,391824428,way
1,Q360572,42038493,way
2,Q19781340,15802789,way
3,Q105451716,319722710,way
4,Q50821184,906518009,way
5,Q105521284,6386650,relation
6,Q10428784,32053420,way
7,Q19977506,278976961,way
8,Q91453681,609488819,way
9,Q91654592,198936254,way
10,Q10432963,240376988,way
11,Q91413168,188549828,way
12,Q44436044,312365242,way
13,Q19672911,43395692,way
14,Q91422098,236563790,way
15,Q19721229,515299597,way
16,Q15618875,13339023,relation
17,Q91457349,175806919,way
18,Q29168225,33081219,way
19,Q19652332,120965702,way
20,Q10474951,5107252,way
21,Q10474982,57852556,way
22,Q10475878,97327210,way
23,Q15621237,45420085,way
24,Q105687119,611315398,way
25,Q98517342,204057594,way
26,Q91598358,199773582,way
27,Q105438536,354214749,way
28,Q10498690,1891500,relation
29,Q91430125,23323709,way
30,Q10499026,10422471,relation
31,Q61754877,82745831,way
32,Q18290008,10753983,relation
33,Q91655591,7147244,relation
34,Q105533889,243138233,way
35,Q10502323,33101105,way
36,Q56256171,416451516,way
37,Q19689717,52336532,way
38,Q26257009,22634163,way
39,Q105710850,303947602,way
40,Q10512691,26772139,way
41,Q19977795,28132889,way
42,Q10520550,1397884,relation
43,Q91461787,431444259,way
44,Q105525693,7681289,relation
45,Q105521968,243042850,way
46,Q63975431,11052847,relation
47,Q18290753,534275733,way
48,Q105526212,7841976,relation
49,Q1716705,29877943,way
50,Q10544305,7268579,way
51,Q28007201,80173117,way
52,Q63184451,159501459,way
53,Q10547074,113082585,way
54,Q10551048,167290439,way
55,Q10551065,10604531,relation
56,Q105525733,7684416,relation
57,Q29256117,26194128,way
58,Q105525615,243067660,way
59,Q10561360,4880647,way
60,Q10561710,300635586,way
61,Q105522319,401799751,way
62,Q47143788,686445660,way
63,Q43233011,23523517,way
64,Q10570028,164232884,way
65,Q91465403,11014455,relation
66,Q100152662,342245895,way
67,Q10577195,7268195,way
68,Q10577291,13384458,relation
69,Q105529959,3873344,relation
70,Q28007260,244437539,way
71,Q19682168,25334489,way
72,Q252312,23513686,way
73,Q10602635,148634974,way
74,Q10602636,91841837,way
75,Q37798642,88938416,way
76,Q50847046,134678396,way
77,Q17581419,6866913,relation
78,Q20823574,52357681,way
79,Q10604294,11365417,relation
80,Q108428497,118764303,way
81,Q105530339,308815049,way
82,Q105525847,243138236,way
83,Q657118,23841420,way
84,Q47092264,11619128,relation
85,Q10658631,10235321,relation
86,Q61746939,857905608,way
87,Q10659370,40850386,way
88,Q10659384,159709334,way
89,Q105522519,6538270,relation
90,Q10661221,37719874,way
91,Q62071058,30276075,way
92,Q26710447,38160256,way
93,Q62071132,329572730,way
94,Q10667898,24011070,way
95,Q105829450,32678695,way
96,Q213988,116872399,way
97,Q56285506,10842526,relation
98,Q47006846,3016934,relation
99,Q19638445,240363432,way
100,Q105487873,607136388,way
101,Q91445049,96584748,way
102,Q105529812,6582613,relation
103,Q105710703,308813043,way
104,Q84347471,77339985,way
105,Q105525657,243067664,way
106,Q105904410,199802311,way
107,Q29032934,11774877,way
108,Q75402955,226309098,way
109,Q10677505,9093054,way
110,Q105488317,449055629,way
111,Q38034671,84579270,way
112,Q10681544,24309791,way
113,Q105522080,761097670,way
114,Q20782305,24324151,way
115,Q105806234,372694572,way
116,Q28056485,43185289,way
117,Q105710740,308692985,way
118,Q105530298,9159887,relation
119,Q77383131,10175396,relation
120,Q26710280,6076925,way
121,Q30334550,30854391,way
122,Q10699797,37521012,way
123,Q93072049,10402471,relation
124,Q10707920,132707353,way
125,Q10708118,15068104,way
126,Q105522524,4572858,relation
127,Q19978994,27810572,way
128,Q4353116,184650267,way
129,Q105553096,219431908,way
130,Q91441503,23819817,way
131,Q105529598,326637264,way
132,Q63820382,296118614,way
133,Q47496757,76508417,way
134,Q98929436,504892786,way
135,Q19721237,215029163,way
136,Q105529774,907785254,way
137,Q19979120,159404132,way
138,Q48034291,34754019,way
139,Q21289243,9175210,way
140,Q56808218,28757828,way
141,Q10718436,10476129,relation
142,Q105521166,324564158,way
143,Q44431080,430223958,way
144,Q10727563,132087658,way
145,Q10727567,15801394,way
146,Q63445604,64361445,way
147,Q4354314,15801342,way
148,Q18335386,7979069,way
