,wikidata,osmid,type
0,Q10398038,166372147,way
1,Q10399592,427761718,way
2,Q10400870,839880967,way
3,Q4682106,106745873,way
4,Q360572,42038493,way
5,Q10401444,1375024,relation
6,Q93797701,7782172690,node
7,Q31899783,323215588,way
8,Q10403698,176185391,way
9,Q10404021,840512525,way
10,Q10404223,484595424,way
11,Q10404378,217107335,way
12,Q10404421,1098807436,node
13,Q10404422,378782783,way
14,Q10404615,173511990,way
15,Q10405128,430059451,way
16,Q10405174,243183084,way
17,Q10405378,461708485,way
18,Q10405429,43914690,way
19,Q10405431,2426955496,node
20,Q10405600,364750956,way
21,Q827091,47976746,way
22,Q10405624,104244135,way
23,Q10405627,108375151,way
24,Q4581039,50731853,way
25,Q26256950,233887858,way
26,Q16157533,334896044,way
27,Q10406577,493557334,node
28,Q10406580,55583994,way
29,Q10406622,88590452,way
30,Q16157546,184337423,way
31,Q10406624,88590455,way
32,Q10406784,293764154,way
33,Q7762382,244092798,way
34,Q10406816,556235173,way
35,Q10407030,717729870,node
36,Q10407035,515939892,way
37,Q10407064,430062249,way
38,Q10407153,317670612,way
39,Q10407671,329819095,way
40,Q19977463,504361030,way
41,Q359217,68528107,way
42,Q16496567,514027661,way
43,Q10409325,585714235,way
44,Q10411208,2329278889,node
45,Q10411217,28801289,way
46,Q10411445,409767554,way
47,Q10411471,37079818,way
48,Q10411537,646560830,way
49,Q10411711,211460783,way
50,Q10411767,474860353,way
51,Q10411773,543329951,way
52,Q10411780,215583068,way
53,Q10412388,371638906,way
54,Q10300318,34590578,way
55,Q10412419,430062556,way
56,Q10412443,419867331,way
57,Q10412950,430063149,way
58,Q10412954,260121494,way
59,Q10412956,609495055,way
60,Q10412958,193190518,way
61,Q10412957,303300901,node
62,Q10413125,243179646,way
63,Q220153,2111885235,node
64,Q10414420,198565523,way
65,Q10416211,228053358,way
66,Q10417107,286071655,way
67,Q10417838,292553961,way
68,Q10418083,28582100,way
69,Q10418324,430063458,way
70,Q10418491,28825630,way
71,Q3440577,337865438,way
72,Q10419082,616066622,way
73,Q10419714,542470000,way
74,Q10419783,651604497,way
75,Q10300320,85816461,way
76,Q10419824,243183085,way
77,Q10419833,775704184,way
78,Q10419854,476155651,way
79,Q10419895,384645845,way
80,Q10419917,295958231,way
81,Q10420400,242699656,way
82,Q10420449,1281696460,node
83,Q10422199,300594985,way
84,Q10422363,138945844,way
85,Q10423373,270962854,node
86,Q10423482,839845918,way
87,Q10424138,94516359,way
88,Q36791622,95081176,way
89,Q10424150,1726527244,node
90,Q10424162,121225973,way
91,Q10424496,308715455,way
92,Q10424662,327856973,way
93,Q10425280,264749919,way
94,Q16498097,225800760,way
95,Q16498097,225800760,way
96,Q10425703,426186314,way
97,Q10426048,160535008,way
98,Q10426057,582439810,way
99,Q10426217,193393817,way
100,Q93705378,282525120,node
101,Q10426240,227193706,way
