,wikidata,osmid,type
0,Q3676883,377055656,way
1,Q3676891,24731640,way
2,Q3676889,38937074,way
3,Q3676892,26449798,way
4,Q3676893,150798551,way
5,Q3676896,25331538,way
6,Q3676897,184744596,way
7,Q3676910,58177852,way
8,Q3676911,218016628,way
9,Q3676915,199819687,way
10,Q3676918,847572595,way
11,Q3676919,58177830,way
12,Q3676917,1062659710,way
13,Q3676924,32877073,way
14,Q3676925,733417092,way
15,Q3676930,4592094,relation
16,Q3676931,24046671,way
17,Q3676928,30806072,way
18,Q3676929,12862504,relation
19,Q3676934,31134011,way
20,Q3676935,76816435,way
21,Q3676932,101615979,way
22,Q3676936,463871570,way
23,Q3676942,3415148,relation
24,Q3676943,48057882,way
25,Q3676941,118832289,way
26,Q3676946,259982296,way
27,Q3676947,25453095,way
28,Q3676944,240313916,way
29,Q3676945,156460370,way
30,Q3676950,780976911,way
31,Q3676951,86418012,way
32,Q3676949,169439726,way
33,Q3676962,71884424,way
34,Q3676964,279142263,way
35,Q3676978,49747127,way
36,Q3676977,28851589,way
37,Q3676982,22879915,way
38,Q3676980,79603719,way
39,Q3676987,3241700,relation
40,Q3852972,122851267,way
41,Q3879853,144384046,way
42,Q3886722,111507427,way
43,Q3886724,56096029,way
44,Q3886725,291465170,way
45,Q3886728,6648213327,node
46,Q3948900,24623291,way
47,Q3949801,2484106662,node
48,Q3979195,241136269,way
49,Q3992600,2962562096,node
50,Q4624717,122269347,way
51,Q4907602,521509029,way
52,Q5162183,27660835,way
53,Q5395397,27889017,way
54,Q5668717,22689683,way
55,Q5760319,59664269,way
56,Q5760326,128108287,way
57,Q5760324,35447594,way
58,Q5760332,25096337,way
59,Q5760341,252589266,way
60,Q5760349,39729794,way
61,Q5760354,24456598,way
62,Q5760359,25574521,way
63,Q5760356,61322457,way
64,Q5760368,101040177,way
65,Q5760372,71315393,way
66,Q5760388,444775618,way
67,Q5982166,5168636648,node
68,Q5994387,222615296,way
69,Q93544,10045286,way
70,Q126453,214435402,way
71,Q263432,23171694,way
72,Q437900,50898193,way
73,Q522700,30110761,way
74,Q530666,774601361,way
75,Q579666,9069221,way
76,Q608405,4915384,way
77,Q624272,527960746,way
78,Q665815,8070596,way
79,Q666516,397737238,way
80,Q666565,15459245,way
81,Q752332,14196,relation
82,Q769786,329371758,way
83,Q779367,4306855,way
84,Q782398,414420462,way
85,Q908034,13996845,way
86,Q1027069,27351933,way
87,Q1031614,154289,relation
88,Q1069938,32807655,way
89,Q1092134,25156933,way
90,Q1187723,24575663,way
91,Q1379712,37220364,way
92,Q1413698,4740772,way
93,Q1457311,7510080,relation
94,Q1457312,87943390,way
95,Q1457318,14477766,way
96,Q1457321,15219972,way
97,Q1457366,9874595,way
98,Q1457378,11988233,way
99,Q1457380,32065545,way
100,Q1457424,10634343,way
101,Q1457464,8922985,way
102,Q1457469,159927353,way
103,Q1483252,8744089419,node
104,Q1620927,466527831,way
105,Q1674732,249786019,way
106,Q1716059,51220663,way
107,Q1716575,26433458,way
108,Q1716643,4777265,relation
109,Q1787871,499285961,way
110,Q1875746,228666408,way
111,Q1982052,89472028,way
112,Q2020581,174446725,way
113,Q2054978,87660587,way
114,Q2111123,151652637,way
115,Q2185004,91142699,way
116,Q2216737,183324946,way
117,Q2248900,21108926,way
118,Q2249115,25574691,way
119,Q2298594,310573149,way
120,Q2401934,31904256,way
121,Q2409013,91551737,way
122,Q2462653,57922341,way
123,Q2462868,259064789,node
124,Q2548715,90036250,way
125,Q2689824,16309623,way
126,Q2967806,320407425,way
127,Q2972538,16070497,way
128,Q2972559,8105270,way
129,Q2972652,164617296,way
130,Q2972662,2428988695,node
131,Q3053799,549694450,way
132,Q3618642,60171216,way
133,Q3654780,463038089,way
134,Q3663198,2492630586,node
135,Q3663206,2866685547,node
136,Q3667914,1670014415,node
137,Q3669830,1248145087,node
138,Q3671680,265892766,way
139,Q3672033,277183972,way
140,Q3676869,588762052,way
141,Q3676872,244087177,way
142,Q3676882,266711022,way
143,Q6116701,32770001,way
144,Q6370409,88227639,way
145,Q6408273,77703308,way
146,Q7477129,44804532,way
147,Q7589679,389865029,node
148,Q8343391,172142305,way
149,Q8343402,244280544,way
150,Q8348804,418784261,node
151,Q8873261,138718290,way
152,Q11913411,27861101,way
153,Q11913414,180720668,way
154,Q11913415,75612405,way
155,Q11913412,29286664,way
156,Q11922662,173829472,way
157,Q11962125,44789180,way
158,Q11966731,31712169,way
159,Q11971472,32807821,way
160,Q11971501,69856703,way
161,Q11996998,5907204952,node
162,Q12001828,4824036,relation
163,Q12006362,9930060,way
164,Q12011612,270927565,way
165,Q12011918,60538971,way
166,Q12011973,4735096,way
167,Q13522407,517365742,way
168,Q13745500,107865044,way
169,Q14849433,221187812,way
170,Q15284795,23154513,way
171,Q15736003,43147503,way
172,Q15872939,320992931,way
173,Q15877403,10454990,relation
174,Q15877401,759452324,way
175,Q15877404,90539469,way
176,Q15917662,757331553,way
177,Q15952892,159113183,way
178,Q16541326,247161958,way
179,Q16912162,10443744,relation
180,Q17195169,53748413,way
181,Q17386761,66228986,way
182,Q17597160,293189309,way
183,Q17597165,189459432,way
184,Q17597171,240088606,way
185,Q17597185,35769846,way
186,Q17597196,82576581,way
187,Q17597211,167814267,way
188,Q17625381,374246012,way
189,Q17749111,155590656,way
190,Q17749458,340147904,way
191,Q17750818,111657517,way
192,Q17778361,4824037,relation
193,Q17778417,4258645,way
194,Q18003885,186250270,way
195,Q18288173,4737672022,node
196,Q18610993,16069856,way
197,Q18619978,237949240,way
198,Q18655222,90529093,way
199,Q18692786,33283154,way
200,Q18696079,33283441,way
201,Q18696077,196359246,way
202,Q18785757,8104517,way
203,Q18923055,759452293,way
204,Q19255348,566391171,way
205,Q19367872,169824957,way
206,Q19378183,44959381,way
207,Q19378720,5000705,way
208,Q19382208,4824040,relation
209,Q19386151,40028352,way
210,Q19387691,7398720,relation
211,Q19399228,25634297,way
212,Q19406890,150232828,way
213,Q19630832,757674495,way
214,Q19757863,757863349,way
215,Q19757899,92224376,way
216,Q19828410,35766660,way
217,Q19828413,103698549,way
218,Q19831698,759452334,way
219,Q19831700,759452326,way
220,Q19831706,759452327,way
221,Q19831707,759452325,way
222,Q19831704,13066696,relation
223,Q19831734,10508524,relation
224,Q19831733,759452294,way
225,Q19888150,759452304,way
226,Q19888148,1732794,relation
227,Q19888152,758379528,way
228,Q19888156,758379529,way
229,Q19985900,40637051,way
230,Q19989016,280225359,way
231,Q20008206,140234779,way
232,Q20113721,23807429,way
233,Q20127506,16070148,way
234,Q20749180,27293142,way
235,Q20754338,14478050,way
236,Q20754340,15268171,way
237,Q20754341,222138405,way
238,Q20771113,11283980,way
239,Q20880625,255625457,way
240,Q20985614,207596185,way
241,Q21036899,364707522,way
242,Q21036902,144134642,way
243,Q21036901,518396362,way
244,Q21693845,35472752,way
245,Q22076394,146205380,way
246,Q23714519,194299532,way
247,Q23989809,65693064,way
248,Q24035397,253371451,way
249,Q24042135,121812147,way
250,Q24053134,38023320,way
251,Q24261857,125813140,way
252,Q24702725,167872966,way
253,Q25414817,231613857,way
254,Q25474228,38333750,way
255,Q25829640,329629602,way
256,Q25867626,759452287,way
257,Q26197108,102584116,way
258,Q26241510,90428170,way
259,Q26247361,759452303,way
260,Q26255861,759452292,way
261,Q26260845,759452299,way
262,Q26263109,164855843,way
263,Q26400717,92877874,way
264,Q26431040,759452312,way
265,Q26935571,759452319,way
266,Q27209297,163705312,way
267,Q27453539,306518110,way
268,Q28008573,24401183,way
269,Q28017518,26785560,way
270,Q28017522,103182087,way
271,Q28017523,984857465,way
272,Q28017530,292284963,way
273,Q28017531,808093436,way
274,Q28017528,292284718,way
275,Q28017538,51071808,way
276,Q28017537,1018788578,way
277,Q28017544,431833024,way
278,Q28127500,105175300,way
279,Q28150827,375389423,way
280,Q28224770,777963255,way
281,Q28487885,218257538,way
282,Q28821643,759452288,way
283,Q28821714,759452289,way
284,Q29033782,27668074,way
285,Q29035495,13181806,relation
286,Q29443752,538521355,way
287,Q29527196,37221476,way
288,Q29527302,353762635,way
289,Q29693136,842873250,way
290,Q29699315,166647599,way
291,Q29709994,69245833,way
292,Q29711219,184277700,way
293,Q29718147,188686285,way
294,Q29718277,184755825,way
295,Q29785480,154524996,way
296,Q29785756,103893453,way
297,Q29890273,91226728,way
298,Q29892172,59417992,way
299,Q29929472,221549889,way
300,Q29933466,22716607,way
301,Q30061649,24544783,way
302,Q30089557,50118309,way
303,Q30148231,99020331,way
304,Q30253879,304300942,way
305,Q30885402,223902590,way
306,Q30885570,197487704,way
307,Q30886051,219919657,way
308,Q30886093,260595250,way
309,Q32947584,757863355,way
310,Q33037998,647256659,way
311,Q33040887,236569117,way
312,Q33100645,18949328,way
313,Q33111504,25117333,way
314,Q33126561,113075558,way
315,Q33134668,403659030,way
316,Q33196690,106941852,way
317,Q33228828,113075557,way
318,Q33499264,254906478,way
319,Q34500722,186966510,way
320,Q34500869,977417491,way
321,Q34501004,284449101,way
322,Q35974151,53150135,way
323,Q39144759,323077807,way
324,Q41090804,95614560,way
325,Q41560699,138404560,way
326,Q41792323,757863350,way
327,Q42395730,761830966,way
328,Q42397945,757674490,way
329,Q42416240,761830969,way
330,Q42429402,279830493,way
331,Q43002168,27157191,way
332,Q43156300,79841824,way
333,Q43165676,251568732,way
334,Q44379294,29880199,way
335,Q47180889,14934862,relation
336,Q47180920,112050144,way
337,Q48083326,135182735,way
338,Q48804639,2452842,relation
339,Q49273529,643724850,way
340,Q51638046,1819929,relation
341,Q52233531,14688018,relation
342,Q52417201,582051779,way
343,Q52765389,248334436,way
344,Q54893862,247988558,way
345,Q54979455,96614589,way
346,Q55092733,363349615,way
347,Q55208117,573333533,way
348,Q55440776,297445778,way
349,Q55443832,298470027,way
350,Q55593956,45063700,way
351,Q55651909,592128685,way
352,Q55678455,758379547,way
353,Q55713476,284596339,way
354,Q55806443,24322773,way
355,Q55830953,126495568,way
356,Q55961590,482614863,way
357,Q56071305,178880820,way
358,Q56230643,256001479,way
359,Q56230949,562741787,way
360,Q56244617,156662638,way
361,Q56244627,194959577,way
362,Q56244632,26811489,way
363,Q56244646,200833538,way
364,Q56244759,270967949,way
365,Q56244939,614186503,way
366,Q56244968,242274263,way
367,Q56247585,64219614,way
368,Q56247855,81235893,way
369,Q56247917,344363035,way
370,Q56249895,261605323,way
371,Q56249939,457415796,way
372,Q56253054,194299166,way
373,Q56253572,267665002,way
374,Q56256712,228201715,way
375,Q56257842,142257423,way
376,Q56257849,239864642,way
377,Q56258011,123183582,way
378,Q56258350,159926354,way
379,Q56260363,126128268,way
380,Q56260366,252861507,way
381,Q56260369,284595839,way
382,Q56261358,300048108,way
383,Q56261467,245428126,way
384,Q56261591,157251168,way
385,Q56261633,224982427,way
386,Q56285221,233960529,way
387,Q56285524,127776502,way
388,Q56285679,295700312,way
389,Q56285714,64987937,way
390,Q56299120,227833642,way
391,Q56299152,183739459,way
392,Q56421771,125095117,way
393,Q56422004,614595468,way
394,Q56422068,384144218,way
395,Q56424285,93324192,way
396,Q56435388,458681753,way
397,Q56435638,251643976,way
398,Q56435669,252127840,way
399,Q56435745,265406983,way
400,Q56435796,181772180,way
401,Q56435954,374696401,way
402,Q56436075,87497755,way
403,Q56436108,270964570,way
404,Q56436789,445160807,way
405,Q56437287,292575632,way
406,Q56437605,122114026,way
407,Q56437716,228563170,way
408,Q56440550,175144692,way
409,Q56448244,139234054,way
410,Q56448406,77638785,way
411,Q56448416,197144268,way
412,Q56490137,35164734,way
413,Q56542989,614208934,way
414,Q56543018,175706429,way
415,Q56543508,370042475,way
416,Q56543932,114708607,way
417,Q56634155,2575981,relation
418,Q56653740,96628325,way
419,Q57024839,339846184,way
420,Q57025316,300988393,way
421,Q57025681,40201313,way
422,Q57297884,600846825,way
423,Q57313921,120583704,way
424,Q57316398,105017209,way
425,Q57316508,74957703,way
426,Q57316618,119666477,way
427,Q57327150,120583036,way
428,Q57327348,39743899,way
429,Q57328171,307951891,way
430,Q57328547,119619211,way
431,Q57328827,195703491,way
432,Q57329283,176383311,way
433,Q57335031,120926771,way
434,Q57335766,120878232,way
435,Q57335914,312740046,way
436,Q57335987,312740043,way
437,Q57337123,191476853,way
438,Q57337205,157514882,way
439,Q57337417,140736207,way
440,Q57337432,246509906,way
441,Q57337488,59132197,way
442,Q57337598,96443798,way
443,Q57341228,146190999,way
444,Q57344883,53826086,way
445,Q57348671,242603450,way
446,Q57350493,196504260,way
447,Q57351060,138708977,way
448,Q57355518,124107280,way
449,Q57356262,124107839,way
450,Q57378887,368741480,way
451,Q57386656,8829323,relation
452,Q57386680,67331847,way
453,Q57386757,369641373,way
454,Q57389436,73211199,way
455,Q57389460,139188974,way
456,Q57389799,77753541,way
457,Q57392129,45758718,way
458,Q57392142,27894868,way
459,Q57393035,46612851,way
460,Q57393498,157514888,way
461,Q57394394,187157685,way
462,Q57395264,270969563,way
463,Q57399626,110548576,way
464,Q57399908,312155787,way
465,Q57400497,138979803,way
466,Q57400612,107433542,way
467,Q57400701,428880854,way
468,Q57414679,436202507,way
469,Q57420992,436839341,way
470,Q57450817,270961288,way
471,Q57597917,761830968,way
472,Q57736173,86923872,way
473,Q57737239,371876264,way
474,Q57737282,306240085,way
475,Q57737828,421494460,way
476,Q57737949,421491140,way
477,Q57739802,424320223,way
478,Q57739973,62329901,way
479,Q57741435,422811718,way
480,Q59245702,129856825,way
481,Q59245719,90138864,way
482,Q59245804,30971833,way
483,Q59282463,124108587,way
484,Q59284231,72493635,way
485,Q59286249,105755145,way
486,Q59287286,156723129,way
487,Q59308953,369440009,way
488,Q59619129,112976380,way
489,Q60166643,174495003,way
490,Q60482600,23760949,way
491,Q61449648,614266120,way
492,Q61450319,614268012,way
493,Q61451436,96404358,way
494,Q61452736,427785965,way
495,Q61452994,228900328,way
496,Q61453217,117065740,way
497,Q61453692,63610658,way
498,Q61454009,446661987,way
499,Q61454154,386860335,way
500,Q61467288,614859335,way
501,Q61467582,305168901,way
502,Q61467607,374416440,way
503,Q62084362,302642216,way
504,Q62129887,41723297,way
505,Q62407002,457395743,way
506,Q63333267,72440744,way
507,Q64509613,216680069,way
508,Q65533605,150856410,way
509,Q65735744,10804171,relation
510,Q65939512,168322732,way
511,Q66314533,240716067,way
512,Q66363478,45442842,way
513,Q66568272,835512438,way
514,Q66811884,9968714,relation
515,Q66819436,118397404,way
516,Q66992500,63357160,way
517,Q67179666,2696111,relation
518,Q67602753,295972922,way
519,Q67881939,95448569,way
520,Q67912312,143207022,way
521,Q71248897,759452320,way
522,Q71698143,759452323,way
523,Q71838733,10508525,relation
524,Q73153877,29228351,way
525,Q73158175,300578570,way
526,Q73498469,23763804,way
527,Q73778752,24577897,way
528,Q74828700,199067340,way
529,Q75280802,23489432,way
530,Q75313017,298736449,way
531,Q75995905,759452321,way
532,Q76155331,293863865,way
533,Q76615339,8509417,relation
534,Q76814602,750734535,way
535,Q76817464,750745075,way
536,Q76818362,750748476,way
537,Q76820436,750756699,way
538,Q76893485,721096157,way
539,Q77054715,446495242,way
540,Q77055890,339878389,way
541,Q77228884,289211246,way
542,Q77597051,332687238,way
543,Q78456388,128190785,way
544,Q78609976,41124694,way
545,Q78610780,203087958,way
546,Q78743190,383732287,way
547,Q79148300,533572053,way
548,Q79149719,41124738,way
549,Q79355805,231382452,way
550,Q79356638,444905661,way
551,Q79357519,440039139,way
552,Q79490782,641533336,way
553,Q79491025,196895398,way
554,Q79748554,380228168,way
555,Q79749838,205944933,way
556,Q79755486,221109090,way
557,Q79761983,73298203,way
558,Q79764668,198580832,way
559,Q79767817,436243881,way
560,Q79778481,93768078,way
561,Q79779243,90622910,way
562,Q79780496,224020175,way
563,Q79835958,265392549,way
564,Q79861479,72925870,way
565,Q79861973,321517633,way
566,Q79865891,191744109,way
567,Q79867951,369882027,way
568,Q79885520,240773412,way
569,Q79887166,303474784,way
570,Q79889165,428222107,way
571,Q79965210,513814845,way
572,Q79965228,202853852,way
573,Q79966086,200673560,way
574,Q79968863,201012140,way
575,Q79968988,200817175,way
576,Q80078741,464078124,way
577,Q80078990,202098202,way
578,Q80080944,207972528,way
579,Q80085269,208037239,way
580,Q80090814,90627928,way
581,Q80093055,520030802,way
582,Q80095739,359583418,way
583,Q80105639,303739304,way
584,Q80105646,303739327,way
585,Q80107048,66362151,way
586,Q80108211,169073950,way
587,Q80111885,367775810,way
588,Q80111889,365330025,way
589,Q80112940,359583417,way
590,Q80127779,360854526,way
591,Q80161882,360854527,way
592,Q80162571,208341606,way
593,Q81800547,83290916,way
594,Q81802433,183130488,way
595,Q82964835,423883095,way
596,Q82964844,550255792,way
