,wikidata,osmid,type
0,Q80146,28042077,way
1,Q81785,61189473,way
2,Q82162,28288191,way
3,Q93544,10045286,way
4,Q99309,3374342,relation
5,Q118967,422679,relation
6,Q124369,4481918,way
7,Q126453,214435402,way
8,Q133423,115773400,way
9,Q133513,3666894,relation
10,Q148554,66418787,way
11,Q155225,153483298,way
12,Q156427,28712150,way
13,Q167087,1778085175,node
14,Q167124,1854240,relation
15,Q167231,9078076,relation
16,Q168886,93811398,way
17,Q173882,369161987,way
18,Q184407,63986573,way
19,Q184707,27804410,way
20,Q186282,131564482,way
21,Q188856,16407465,way
22,Q190484,1252342,relation
23,Q190494,51440106,way
24,Q191739,43768260,way
25,Q198591,1944463825,node
26,Q206161,244544996,way
27,Q206267,49790462,way
28,Q208181,303066,relation
29,Q209705,340562665,way
30,Q219502,131798543,way
31,Q231699,23370510,way
32,Q239043,10213172,relation
33,Q240744,1450360,relation
34,Q248589,216985014,way
35,Q249139,744348814,way
36,Q252575,28750371,way
37,Q253763,150945071,way
38,Q256486,122982019,way
39,Q260386,115780893,way
40,Q263432,23171694,way
41,Q269641,227757683,way
42,Q272208,6911225,relation
43,Q272781,3258300,relation
44,Q277004,99275231,way
45,Q281477,129268313,way
46,Q281859,5394306,relation
47,Q282554,418912842,way
48,Q288130,13592460,relation
49,Q289414,123028910,way
50,Q304198,122976197,way
51,Q318822,143027776,way
52,Q318822,143027776,way
53,Q320625,5077552,way
54,Q321319,25468503,way
55,Q330385,89808919,way
56,Q334399,39333604,way
57,Q335336,30805747,way
58,Q338665,313947864,way
59,Q340065,5730752,relation
60,Q372937,24594750,way
61,Q377704,202523815,way
62,Q384032,27596761,way
63,Q385157,179179044,way
64,Q385521,173544229,way
65,Q387544,27411451,way
66,Q389210,1727138,relation
67,Q390150,149498084,way
68,Q391083,8840596415,node
69,Q406602,486739215,way
70,Q422940,58988907,way
71,Q429379,36393775,way
72,Q437930,81234289,way
73,Q438027,24810359,way
74,Q438118,148894727,way
75,Q438119,3988127,way
76,Q438183,25809274,way
77,Q438199,160225878,way
78,Q438234,26956469,way
79,Q442555,20434837,way
80,Q461397,28221018,way
81,Q472082,154843511,way
82,Q472573,96957086,way
83,Q476529,41766672,way
84,Q486382,2720817,relation
85,Q488897,2074768,relation
86,Q510389,58528625,way
87,Q513821,2021065708,node
88,Q520753,162789700,way
89,Q522700,30110761,way
90,Q525303,25024854,way
91,Q530477,33453974,way
92,Q530666,774601361,way
93,Q536925,847195398,way
94,Q558959,10523695,relation
95,Q564922,24733507,way
96,Q569253,201482365,way
97,Q569556,26776192,way
98,Q571088,198961070,way
99,Q572953,275353256,way
100,Q573881,599900778,way
101,Q578671,9081080122,node
102,Q579381,59213570,way
103,Q579666,9069221,way
104,Q579770,193872447,way
105,Q580446,184005596,way
106,Q591192,690027752,way
107,Q592204,13840402,way
108,Q592244,8437973,relation
109,Q600351,38227500,way
110,Q606069,24782705,way
111,Q607817,35663531,way
112,Q608405,4915384,way
113,Q609293,120854225,way
114,Q612065,239895200,way
115,Q613619,23352829,way
116,Q614241,731209262,way
117,Q615404,34668145,node
118,Q617328,183318848,way
119,Q621034,424512274,way
120,Q626535,470070680,way
121,Q631270,21887271,way
122,Q638519,85151350,way
123,Q640542,861031326,way
124,Q642479,12584861,relation
125,Q643891,51804411,way
126,Q647265,205541951,way
127,Q648754,404052334,way
128,Q654996,14805243,way
129,Q658901,85136892,way
130,Q659529,111532852,way
131,Q662652,250063134,node
132,Q665815,8070596,way
133,Q666479,137472252,way
134,Q666565,15459245,way
135,Q666587,8731801,way
136,Q666935,14879154,way
137,Q668023,1312593,relation
138,Q671933,338822833,way
139,Q672082,165882138,way
140,Q675174,6197783,way
141,Q677362,209119070,way
142,Q678611,227924236,way
143,Q681407,23442735,way
144,Q684948,36916418,way
145,Q685133,12714317,relation
146,Q685338,3006479,relation
147,Q685940,13394475,relation
148,Q686664,112526702,way
149,Q693174,123153059,way
150,Q695321,9760054,way
151,Q695604,1635169,relation
152,Q696641,388017091,way
153,Q714902,23893411,way
154,Q718774,261249895,way
155,Q722316,35487656,way
