,wikidata,osmid,type
0,Q4664333,357766962,node
1,Q4670835,196389869,way
2,Q4670837,106206514,way
3,Q60787370,734354239,way
4,Q383996,11077079,relation
5,Q180624,234483837,way
6,Q4694519,236090883,way
7,Q87287424,29690921,way
8,Q111507698,43438510,way
9,Q99336824,321445104,way
10,Q4746056,29908842,way
11,Q65951683,49435999,way
12,Q91400349,118861869,way
13,Q106729257,9535539762,node
14,Q4763120,523794838,way
15,Q62050564,676482590,way
16,Q14681542,44174763,way
17,Q114840053,83669479,way
18,Q4792364,40165203,way
19,Q4794987,829609251,way
20,Q4803759,71184985,way
21,Q15192711,356559907,node
22,Q56604681,67780215,way
23,Q4810292,29860027,way
24,Q55887080,153719549,way
25,Q104664438,501424365,way
26,Q16842866,399551289,way
27,Q14705046,9346614,relation
28,Q4838744,1001029499,way
29,Q4848474,438733268,way
30,Q64960487,357924284,node
31,Q4849305,442833351,way
32,Q54423421,357725482,node
33,Q4868933,222389248,way
34,Q4874823,959258,relation
35,Q20668355,27478719,way
36,Q59306457,358238128,node
37,Q4878583,702949231,way
38,Q61765784,357746067,node
39,Q4879583,448570051,way
40,Q4879684,240027010,way
41,Q4879697,536010026,way
42,Q16950960,1087620993,way
43,Q4889885,29868149,way
44,Q29641597,96968984,way
45,Q64764842,828611563,way
46,Q4897491,238755929,way
47,Q42699748,60770205,way
48,Q55605270,951332,relation
49,Q78883480,652021783,way
50,Q78888388,306455784,way
51,Q22021868,358649159,node
52,Q4899599,14354021,relation
53,Q4915661,923167911,way
54,Q67206695,274074354,way
55,Q4920653,92446338,way
56,Q79099061,552712343,way
57,Q4928232,40165260,way
58,Q4928956,558331759,way
59,Q4938109,113923328,way
60,Q890781,26379258,way
61,Q4941210,491501116,way
62,Q4948628,161391628,way
63,Q56033956,40164693,way
64,Q22919813,558850787,way
65,Q111795459,1056441229,way
66,Q4955883,51805400,way
67,Q14693146,284317032,way
68,Q4966286,828240362,way
69,Q47495839,206190664,way
70,Q52084535,40516584,way
71,Q54984421,29838254,way
72,Q22919818,357324035,node
73,Q4975103,619534199,way
74,Q59152957,426610902,way
75,Q59279149,781701813,way
76,Q93633821,779329871,way
