,wikidata,osmid,type
0,Q106540,1869749,relation
1,Q112738,96311715,way
2,Q120314,1697356333,node
3,Q131377,5329720522,node
4,Q151545,2272817622,node
5,Q155443,206772,relation
6,Q156316,7074,relation
7,Q167231,9078076,relation
8,Q171857,310318567,way
9,Q176792,159049311,way
10,Q106636,32678002,node
11,Q172613,558067645,way
12,Q71279,6436433,relation
13,Q75459,145690044,way
14,Q122026,570667299,node
15,Q155188,3881907,relation
16,Q178124,25722129,way
17,Q178813,351900172,way
18,Q71229,31475419,way
19,Q106934,309089736,way
20,Q131013,4423249,relation
21,Q133575,418842011,node
22,Q138986,1223287348,node
23,Q143042,206182687,way
24,Q155743,476702262,way
25,Q156675,49867155,way
26,Q174139,6367431098,node
27,Q177549,226877188,way
28,Q179046,568383174,node
29,Q86486,9865553628,node
30,Q127963,68611018,way
31,Q134927,3011851595,node
32,Q135779,601723577,node
33,Q155699,4396060173,node
34,Q157886,36915387,way
35,Q158324,25847999,way
36,Q163607,8160590,relation
37,Q168518,1046022673,way
38,Q179570,287543904,node
39,Q155587,252425945,node
40,Q118468,14642603,relation
41,Q162835,307983900,node
42,Q84090,36444,relation
43,Q117623,316435089,node
44,Q122082,4265016,relation
45,Q125445,43921139,way
46,Q127754,14383650,way
47,Q130025,5039653773,node
48,Q142874,2098390,relation
49,Q155414,720268396,way
50,Q156067,23646,relation
51,Q151963,330840129,way
52,Q122281,1500321226,node
53,Q134873,688424611,way
54,Q152339,1739171,relation
55,Q157550,6028715,relation
56,Q172125,3182744761,node
57,Q122225,330006952,node
58,Q153430,32669193,node
59,Q156011,11096942,relation
60,Q156308,3771014,relation
61,Q175874,46344508,way
62,Q184284,501466022,way
63,Q192981,533125855,way
64,Q186282,131564482,way
65,Q199618,96930225,way
66,Q205558,219698596,way
67,Q207985,64599957,way
68,Q213232,26645969,way
69,Q216059,6707653370,node
70,Q208379,394787428,way
71,Q213188,151951872,way
72,Q214827,30746810,way
73,Q215897,256044928,way
74,Q188617,8048808,relation
75,Q188754,23707900,way
76,Q189358,1588209,relation
77,Q189764,143771287,way
78,Q190048,8324981814,node
79,Q192201,11355339,relation
80,Q192518,1226934833,node
81,Q192522,192245191,way
82,Q193325,562110904,node
83,Q199234,100219438,way
84,Q207193,79759498,way
85,Q207870,6096999610,node
86,Q207945,432365600,way
87,Q209705,340562665,way
88,Q211252,8490073,relation
89,Q213507,2464146322,node
90,Q214944,124331302,way
91,Q216243,217765474,way
92,Q216862,29546608,way
93,Q217447,275232928,node
94,Q185156,5520636453,node
95,Q192237,276850140,node
96,Q205131,620388965,node
97,Q209217,2492683868,node
98,Q215315,60460997,node
99,Q207917,75969654,node
100,Q219279,156255349,way
101,Q184429,2193789891,node
102,Q184534,3376582,relation
103,Q190060,242169982,way
104,Q200521,60261200,way
105,Q201428,655065732,way
106,Q210055,372449147,way
107,Q212205,5285160,relation
108,Q203197,2908772560,node
109,Q217452,179739514,way
110,Q180274,102809767,way
111,Q181123,1124758411,node
112,Q192666,14705359,relation
113,Q193241,273488836,node
114,Q206219,6539667042,node
115,Q206236,34133277,way
116,Q206823,7388163831,node
117,Q213237,8761830,relation
118,Q214007,2488657485,node
119,Q188694,9316413,relation
120,Q184427,115567314,way
121,Q188528,444333266,way
122,Q189934,7146620,relation
123,Q190128,2707025319,node
124,Q205832,1827940532,node
125,Q205367,240990589,way
126,Q209643,1579104,relation
127,Q210610,312398800,way
128,Q210678,441801479,way
129,Q211778,9958674,relation
130,Q189616,115566920,way
131,Q192764,9483703,relation
132,Q203797,1226855,relation
133,Q206234,78252880,way
134,Q206258,3625447760,node
135,Q208181,303066,relation
136,Q211585,5654119556,node
137,Q211962,219706573,way
138,Q181007,1598209,relation
139,Q192243,8951628787,node
140,Q200693,33992,relation
141,Q201469,170149134,way
142,Q212867,66713401,way
143,Q220951,74203156,way
144,Q234600,82799640,node
145,Q244952,27755927,way
146,Q259336,2967439405,node
147,Q259313,963592527,node
148,Q270983,98115917,way
149,Q273456,28940810,way
150,Q281844,795493608,node
151,Q285468,191502696,way
152,Q289466,6423610,relation
153,Q284125,212717316,way
154,Q303806,730818288,node
155,Q310719,2844183,relation
156,Q318181,244398416,node
157,Q318422,54718064,way
158,Q272799,6556990825,node
159,Q325468,26751021,way
160,Q272968,97710114,way
161,Q222501,4862327354,node
162,Q253241,81578382,way
163,Q257513,112390660,way
164,Q273834,419697527,way
165,Q277389,10189546,relation
166,Q277576,5153936822,node
167,Q281856,957868908,way
168,Q301815,212107109,way
169,Q305044,235843608,way
170,Q319296,2426730832,node
171,Q328577,3588120,relation
172,Q295408,1644697815,node
173,Q316137,118113725,way
174,Q263567,24352411,way
175,Q235004,198492634,node
176,Q251873,670005466,way
177,Q255079,10868707,relation
178,Q272777,152327656,way
179,Q331409,5959927331,node
180,Q331099,4120337,way
181,Q231699,23370510,way
182,Q235878,86421770,way
183,Q242741,910010334,way
184,Q260465,7041360098,node
185,Q277531,5579293,relation
186,Q278908,24620374,way
187,Q306978,6782493,relation
188,Q330095,2086138326,node
189,Q331603,1109069325,node
190,Q223589,404784,relation
191,Q230025,203395269,way
192,Q240832,2302861571,node
193,Q242711,10279664,relation
194,Q245151,255916025,way
195,Q252814,4218815157,node
196,Q257473,87960616,way
197,Q272153,6067390,relation
198,Q272781,3258300,relation
199,Q289427,213879983,way
200,Q309436,365060850,node
201,Q221716,336641107,way
202,Q241074,2254904,relation
203,Q250880,240048158,node
204,Q284340,35608661,node
205,Q286426,7524088899,node
206,Q308807,7702655158,node
207,Q322287,124205148,way
208,Q231140,1506282,relation
209,Q239028,229587235,way
210,Q259173,2466577009,node
211,Q272768,13904477,relation
212,Q272932,620408965,way
213,Q277683,3538056,relation
214,Q308805,1946786293,node
215,Q309426,2087512934,node
216,Q223385,654057020,node
217,Q234783,227109482,node
218,Q235884,7018006485,node
219,Q276553,44890267,way
220,Q277540,11913341,relation
221,Q284817,6110332,relation
222,Q305169,10377668,relation
223,Q308893,401345,relation
224,Q327940,377216661,way
225,Q328488,401019,relation
226,Q336354,80057360,way
227,Q338889,299450008,way
228,Q374096,2199517628,node
229,Q387097,43776955,way
230,Q389269,962330972,way
231,Q394443,258523517,node
232,Q379652,245445583,way
233,Q445649,273185391,node
234,Q447441,608171475,way
235,Q458167,4843650416,node
236,Q464918,427080450,way
237,Q471717,15002225,relation
238,Q478784,520993882,way
239,Q333850,1575898570,node
240,Q333984,313136672,way
241,Q379080,94444068,way
242,Q391406,198804483,way
243,Q396132,2206311516,node
244,Q457362,257564804,way
245,Q464904,503149933,way
246,Q464936,183321152,way
247,Q473144,169265792,way
248,Q477157,789965985,way
249,Q459629,331768105,way
250,Q466614,977386941,way
251,Q334406,5027129075,node
252,Q335618,211578006,way
253,Q392215,326361517,way
254,Q430626,243003159,way
255,Q379759,10018175,relation
256,Q458821,93499194,way
257,Q477251,12112986,way
258,Q464899,26697628,way
259,Q334150,427720797,way
260,Q380470,1115676,relation
261,Q392365,725515163,node
262,Q421806,247876678,way
263,Q456817,2598753117,node
264,Q459493,118113727,way
265,Q374365,1933393717,node
266,Q477462,1313279764,node
267,Q463179,354728127,way
268,Q471765,478464684,way
269,Q334217,4608482908,node
270,Q338834,321349168,node
271,Q384463,281530614,way
272,Q384966,1106032892,way
273,Q389210,1727138,relation
274,Q391215,2561366,relation
275,Q391229,684774685,way
276,Q391973,162544749,way
277,Q457304,401017,relation
278,Q464695,182025105,way
279,Q334303,146809186,way
280,Q367395,226765765,way
281,Q368346,120394014,way
282,Q383659,47122576,node
283,Q457453,50555386,way
284,Q472588,487662760,way
285,Q478707,222278733,way
286,Q331996,27447931,way
287,Q338716,5475758,relation
288,Q343053,307501135,way
289,Q385086,1101925644,way
290,Q423654,538179351,way
291,Q433634,8273593827,node
292,Q435829,157020193,way
293,Q464913,253790761,node
294,Q332800,4516461789,node
295,Q361060,5473873680,node
296,Q384813,12352554,relation
297,Q387517,969444541,way
298,Q393841,4959154188,node
299,Q474982,4614126,relation
300,Q460367,251381458,node
301,Q478471,515964037,way
302,Q480763,3182744361,node
303,Q484931,58586419,way
304,Q498261,22747187,way
305,Q500444,208889169,way
306,Q508040,59923939,way
307,Q513893,228371109,way
308,Q535577,185036984,way
309,Q530208,50284368,way
310,Q539518,4311837838,node
311,Q500796,98836692,way
312,Q551256,2784877702,node
313,Q514069,218873248,way
314,Q484458,4421574131,node
315,Q499552,606993597,node
316,Q500189,668897842,node
317,Q500397,934542,relation
318,Q501093,848663663,way
319,Q501833,219496480,way
320,Q507076,288905594,way
321,Q505175,1464072722,node
322,Q520112,89923796,way
323,Q525226,35984274,way
324,Q501103,264791850,way
325,Q532466,9318316861,node
326,Q555011,558629070,node
327,Q559789,7771089,relation
328,Q562529,2668229479,node
329,Q558514,440729082,way
330,Q500215,102173756,way
331,Q500367,381561430,way
332,Q505574,114818965,way
333,Q507282,7422814,relation
334,Q516770,3310964,relation
335,Q534596,96320718,way
336,Q538061,30021363,way
337,Q552106,14875710,relation
338,Q499527,7116277007,node
339,Q501153,312081448,way
340,Q540237,2868565,relation
341,Q546010,157441696,way
342,Q500718,267883616,way
343,Q501097,432824504,way
344,Q503387,3469022021,node
345,Q539730,93064654,way
346,Q508634,542886857,node
347,Q550252,1708799586,node
348,Q555083,1851980830,node
349,Q490497,10773432,relation
350,Q501638,6365832,relation
351,Q505617,10788612,relation
352,Q506511,126713905,way
353,Q507390,51139525,way
354,Q515850,122282451,way
355,Q517633,23571791,way
356,Q542944,10174558,relation
357,Q548153,51830755,way
358,Q551959,4993346857,node
359,Q483295,3297166,relation
360,Q500376,2321350340,node
361,Q500808,274681688,way
362,Q501072,444435957,way
363,Q529923,610607807,node
364,Q550502,561634537,way
365,Q491454,472095264,way
366,Q499517,597303024,node
367,Q508866,218648052,way
368,Q550346,129295802,way
369,Q552005,369995203,node
370,Q501344,9450443,relation
371,Q573975,98414740,way
372,Q575976,334515282,way
373,Q576339,3054870688,node
374,Q593870,8259800,relation
375,Q603622,3168029386,node
376,Q605897,129547191,way
377,Q618394,995072106,way
